,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
251,1.0,25.0,25.0,17.0,11.0,37.0,False,9.61587214452889,6432.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
252,1.0,3.0,5.0,6.0,17.0,32.0,False,8.412054873292933,7034.400000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,1.0,6.0,9.0,9.0,18.0,36.0,False,8.517393171418904,8166.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,1.0,9.0,18.0,8.0,17.0,32.0,False,8.987321812850125,8150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,1.0,15.0,24.0,10.0,17.0,37.0,False,9.210440366976517,6255.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256,4.0,3.0,18.0,20.0,83.0,156.0,False,10.251676592824563,3156.200000000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
257,1.0,1.0,9.0,8.0,18.0,32.0,False,8.77971129020447,7188.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
258,2.0,7.0,15.0,15.0,50.0,80.0,False,10.12667110305036,2228.2000000000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
259,3.0,7.0,9.0,9.0,49.0,66.0,False,9.495594499353297,8075.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,2.0,3.0,16.0,8.0,30.0,56.0,False,9.305741456739435,7718.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
261,3.0,4.0,9.0,7.0,40.0,64.0,False,10.028533041510352,1227.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
262,2.0,14.0,25.0,12.0,45.0,67.0,False,9.798182590890704,3905.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
263,2.0,1.0,9.0,8.0,32.0,45.0,False,9.105090961257085,7469.800000000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
264,2.0,4.0,9.0,12.0,32.0,48.0,False,9.852246888342531,4052.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
265,2.0,4.0,5.0,7.0,25.0,46.0,False,9.392745258631441,5888.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
266,2.0,6.0,7.0,15.0,46.0,70.0,False,9.472781556562168,1593.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
267,1.0,7.0,9.0,9.0,18.0,49.0,False,9.392745258631441,5956.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
268,2.0,13.0,25.0,12.0,18.0,56.0,False,9.741027444837728,2413.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
269,1.0,10.0,22.0,10.0,18.0,38.0,False,9.105090961257085,5007.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
270,2.0,2.0,5.0,7.0,32.0,47.0,False,9.018089684104343,5169.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,3.0,8.0,20.0,13.0,70.0,95.0,False,9.711176264112805,6443.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
272,2.0,9.0,22.0,13.0,60.0,75.0,False,9.852194258148577,4353.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,3.0,2.0,9.0,7.0,46.0,62.0,True,9.798182590890704,2045.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
274,2.0,24.0,24.0,25.0,45.0,65.0,False,9.546884034617925,6301.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
275,2.0,23.0,25.0,12.0,78.0,90.0,False,9.680406499268875,5696.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
276,1.0,11.0,16.0,12.0,20.0,45.0,False,9.433563920090563,5224.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
