AdPrice,Adress,Center,District,Floor,Hospital,ID,Kindergarten,KitchenArea,LivingArea,Metro,OfferType,Price,Rate,Rooms,School,Street,TotalArea,TotalFloor,Walls,WaterHeatType
nan,"Довгострокова оренда квартири, 5 кім., Київ, р‑н. Шевченківський, Парково-Сырецкая ул., 4 quotВquot",False,nan,12,False,15096043,False,15 м² ,98 м² ,nan,від посередника  ,39 660,nan,5,False,nan,152 м² ,24,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, Ломоносова вулиця, буд. 46/1",False,nan,15,False,15235104,False,14 м² ,20 м² ,nan,від посередника  ,11 000,nan,1,False,nan,45 м² ,16,монолитно-кирпичный  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, ст.м. Святошин, Генерала Потапова вулиця, буд. 4",False,nan,6,False,15235818,False,nan,nan,nan,від посередника  ,6 000,nan,1,False,nan,35 м² ,9,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Регенераторная ул., 4",False,nan,4,False,15095477,False,20 м² ,27 м² ,nan,від посередника  ,21 246,nan,2,False,nan,63 м² ,9,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, Образования ул., 8 quotАquot",False,nan,16,False,15235850,False,nan,nan,nan,від посередника  ,19 718,nan,2,False,nan,65 м² ,25,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Святошинський, ст.м. Житомирська, Леся Курбаса проспект, буд. 14",False,nan,12,False,15235791,False,nan,nan,nan,від посередника  ,7 500,nan,2,False,nan,48 м² ,16,цегла  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Подільський, Замковецкая ул., 94",False,nan,3,False,15235849,False,16 м² ,30 м² ,nan,від посередника  ,13 500,nan,1,False,nan,50 м² ,5,панель  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, Барбюса Анри ул., 56",False,nan,3,False,15235855,False,nan,nan,nan,від посередника  ,9 300,nan,1,False,nan,35 м² ,9,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Соломенський, Липковского Василия Митрополита ул., 18",False,nan,15,False,15235854,False,nan,nan,nan,від посередника  ,23 900,nan,3,False,nan,98 м² ,17,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Льва Толстого вулиця, буд. 25",False,nan,3,False,15235870,False,16 м² ,nan,nan,від власника  ,20 000,nan,2,False,nan,70 м² ,6,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Дружби народів, Професора Підвисоцького вулиця, буд. 12",False,nan,2,False,15235860,False,8 м² ,33 м² ,nan,від посередника  ,11 000,nan,2,False,nan,50 м² ,5,цегла  ,False
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Дарницький, ст.м. Позняки, Драгоманова вулиця",False,nan,11,False,15235865,False,11 м² ,55 м² ,nan,від посередника  ,6 000,nan,3,False,nan,75 м² ,20,монолитно-кирпичный  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, ст.м. Лук'янівська, Дегтярівська вулиця, буд. 6",False,nan,6,False,15235923,False,8 м² ,32 м² ,nan,від посередника  ,9 000,nan,2,False,nan,55 м² ,9,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Іподром, Академіка Вільямса вулиця, буд. 19\14",False,nan,11,False,15235882,False,12 м² ,20 м² ,nan,від посередника  ,16 500,nan,1,False,nan,50 м² ,19,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, ст.м. Палац спорту, Анрі Барбюса вулиця, буд. 53",True,nan,10,False,15028462,True,15 м² ,18 м² ,nan,від посередника  ,24 000,nan,1,False,nan,50 м² ,14,цегла  ,True
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Печерський, Дарвина ул., 10",False,nan,5,False,15006739,False,18 м² ,95 м² ,nan,від посередника  ,48 159,nan,3,False,nan,100 м² ,5,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Ревуцкого ул., 29 quotБquot",False,nan,9,False,15095755,False,10 м² ,nan,nan,від посередника  ,12 000,nan,2,False,nan,65 м² ,16,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, Искровская ул., 3",False,nan,3,False,15236426,False,nan,nan,nan,від посередника  ,14 000,nan,2,False,nan,52 м² ,5,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Срибнокильская ул., 20",False,nan,12,False,15095760,False,12 м² ,nan,nan,від посередника  ,14 000,nan,2,False,nan,75 м² ,18,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Голосіївський, Луценко Дмитрия ул., 18",False,nan,4,False,15236047,False,nan,nan,nan,від посередника  ,10 000,nan,2,False,nan,53 м² ,9,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, ст.м. Харківська, Ахматової Анни вулиця",True,nan,10,True,15236053,True,8 м² ,32 м² ,nan,від посередника  ,10 000,nan,2,True,nan,57 м² ,16,панель  ,True
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Соломенський, Машиностроительная ул., 41",False,nan,12,False,15236428,False,nan,nan,nan,від посередника  ,12 000,nan,1,False,nan,27 м² ,13,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Дарницький, Драгоманова ул., 40",False,nan,6,False,15236427,False,15 м² ,55 м² ,nan,від посередника  ,17 000,nan,3,False,nan,106 м² ,25,панель  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Шовковична вулиця, буд. 16а",False,nan,5,False,14886180,False,15 м² ,40 м² ,nan,від посередника  ,31 161,nan,2,False,nan,56 м² ,6,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, ст.м. Лук'янівська, Половецька вулиця",False,nan,5,False,15236423,False,8 м² ,32 м² ,nan,від посередника  ,8 000,nan,2,False,nan,54 м² ,9,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Теремки, Метрологическая улица",False,nan,5,False,10969454,False,10 м² ,17 м² ,nan,від посередника  ,9 000,nan,1,False,nan,45 м² ,6,монолитно-каркасный  ,False
немає  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Шевченківський, Татарська вулиця",False,nan,3,False,15089618,False,nan,nan,nan,від посередника  ,18 414,nan,3,False,nan,73 м² ,9,цегла  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, ст.м. Лук'янівська, Дегтяревская 10",False,nan,6,False,12226714,False,8 м² ,32 м² ,nan,від посередника  ,12 000,nan,2,False,nan,52 м² ,9,цегла  ,False
немає  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Деміївська, Феодосійський провулок, буд. 14",False,nan,22,False,15236533,False,10 м² ,20 м² ,nan,від посередника  ,12 000,nan,1,False,nan,41 м² ,22,цегла  ,False
